code,product_name,brand,pack_size,category,allergens
6191509905058,First Cold Pressed Extra Virgin Olive Oi,Terra Delyssa,1 L,vegetable-oils,
6413300018042,Strawberry Protein Yogurt with Sweetener,Arla,200 g,yogurts,milk
7610400070577,CHILLI DARK,Lindtt EXCELLENCE,100 g,chocolates,Butterfat|milk|soybeans
7610900037360,Mango Papaya Passion Fruit,Onken,450 g,yogurts,milk
7610900299072,Onken Set Natural Yogurt,natural set yogurt,450g,yogurts,milk
7622201148782,DAIRY MILK,Cadbury,,chocolates,milk
7622201499679,Le Petit Beurre,LU,167 g,biscuits,gluten|milk
7622201766375,Soft Bakes Blueberry,"Belvita, Mondelez",250g,biscuits,gluten|milk|soybeans
7622201786373,Green & Blacks Smooth Mint,Green & Blacks,90g,chocolates,soybeans
7622202018701,Bolachas Belvita Breakfast Milk & Cereal,Belvita,5 x 45g (225g),biscuits,gluten|milk|soybeans
7622202019265,BREAKFAST Honey & Nut with choc chips,Belvita,1 225g,biscuits,gluten|milk|nuts|soybeans
7622202232633,Soft Bakes Choc Chips,Belvita,,biscuits,gluten|milk|soybeans
7622210249661,Dark Chocolate,Cadbury Bournville,180 g,chocolates,milk|soybeans
7622210578464,Organic 70% Dark Chocolate Bar,Green & Black's,90g,chocolates,
7622210580092,Organic Milk Chocolate 37% Cocoa,Green & Black's,90 g,chocolates,milk|soybeans
7622210584724,INTENSE DARK 85% COCOA,GREEN & BLACK'S ORGANIC,90g,chocolates,
7622210689382,Choc Chips,belVita BREAKFAST,225 g,biscuits,gluten|milk|soybeans
7622210740427,belVita BREAKFAST Cocoa with choc chips,Belvita,225g,biscuits,gluten|milk|soybeans
7622300315269,Original,Oreo,"308 g ℮, 2 pacch",biscuits,gluten|soybeans
7622300315283,Oreo Original Night Twist,Oreo,154 g,biscuits,gluten|soybeans
7630486400716,Icing Sugar Alternative,Pure Via,,sugars,
8000380153442,Loacker,Loacker,90 g,biscuits,gluten|milk|nuts|soybeans
8000500359556,czekolada Rafael,Ferrero,90 g,chocolates,milk|nuts|soybeans
8000500417270,Eat Natural Vegan Peanuts Coconut And Da,Eat Natural,3 x 40 g,nuts,peanuts|soybeans
8000500417539,almond & apricot with a yoghurt coating,EAT NATURAL,40g,dried-fruits,milk|nuts
8001585008155,Wafers Bfb Hazelnut,Balconi,225 g,biscuits,gluten|milk|nuts|soybeans
8002210115422,Organic Extra Virgin Olive Oil,Filippo Berio,500 ml,vegetable-oils,
8002210500105,Extra Virgin Olive Oil,Filippo Berio,250 ml,vegetable-oils,
8002210500204,Filippo Berio Extra Virgin Olive Oil imp,Filippo Berio,500 ml,vegetable-oils,
8002210500303,Extra Virgin Olive Oil,Filippo Berio,1 l,vegetable-oils,
8002210501201,Olive oil,Filippo Berio,500 ml,vegetable-oils,
8002210560000,Extra Virgin Olive Oil,Filippo Berio,750 ml,vegetable-oils,
8014601036100,Il Mulino Di Napoli Soft Wheat Flour,"Caputo, Caputo 1924, Mul",1 kg,flours,gluten
8076809572897,Macine mb 350g int. eu,"Barilla, Mulino Bianco",350 g,biscuits,eggs|gluten|milk
8076809574082,Abbracci con Cacao e Panna Fresca,Mulino Bianco,350 g,biscuits,eggs|gluten|milk
8402001010873,Muesli CRUNCHY,Hacendado,500gr,breakfast-cereals,gluten|milk
8402001018145,harina de trigo,Hacendado,1Kg,flours,
8410179100036,Extra Virgin Olive Oil,Borges,500 ml - 17fl oz,vegetable-oils,
8410660049981,Extra Virgin Olive Oil,La Espanola,750ml,vegetable-oils,
8717677339914,Milk Chocolate,Tony's Chocolonely,180g,chocolates,milk|soybeans
8717677339938,milk chocolate with caramel pieces and s,Tony's Chocolonely,180 g,chocolates,milk|soybeans
8718226401793,Low Calorie Sweetener,Splenda,,sugars,
8901063092853,Good Day cashew cookie,Britannia,30.2 g,biscuits,gluten|milk
8901063162914,Marie Gold Biscuit,Britannia,64 g,biscuits,gluten|milk
8901088050586,Parachute Coconut Oil,Parachute,,vegetable-oils,
8901719135217,Krackjack,Parle,28.35gm,biscuits,gluten|milk
8908002506969,BAT Shamim Dates,"BAT, Bait Al Tamur",400g,dried-fruits,
9342985002022,Sweetener,natVia,350 g,sugars,
9417986934839,Rice Bran Oil,AlfaOne,500 ml,vegetable-oils,
9557129008819,Healthier Oil for Cooking (Red Palm Frui,Carotino,,vegetable-oils,
